cytoband	22q13.32	9p21.3	8p23.2	1p36.11	11q25	1p36.32	8p21.1	13q14.2	11q23.3	2q37.3	6q16.2	19p13.3	13q11	15q14	10q23.31	12q23.1	11q12.2	1p22.1	9p23	3p22.1	6q25.3	10q25.1	11p15.5	22q12.3	13q12.12	17q25.1	6q22.1	14q24.2	15q13.1	19q13.32	11q13.1	15q24.2	17q21.2	9p22.3	4q35.2	6q23.3	12p11.22	
						TNFRSF9		EBPL	ZNF202	OR6B3	CDC40	MIR1268A		ZFYVE19	CWF19L1	ALX1	OR5AR1	SEP15		SCN10A	HYMAI	XPNPEP1			MTIF3	RAB40B	BVES-AS1	TSHR	JMJD7-PLA2G4B	PSG6	MDK	ANP32A	PSMD3		GABRA2	GNL1	FGF6	
						INPP5B		KBTBD6	CUL5	LOC150935	UBE2J1	MIR1227		FRMD5	RNLS	CDK2AP1	OR5AK4P	ARHGAP29		SEMA3F	ADGRG6	SHOC2			GSX1	CD300A	CCDC162P	VRK1	RAB11A	PSG7	MEN1	ST8SIA2	PSMD11		GABRA4	GPLD1	FKBP4	
						IPP		EPSTI1	BARX2	LINC01107	COQ3	MIR4321		DISP2	PI4K2A	BRAP	LRRC55	CLCA3P		SMARCC1	ARFGEF3	ADAM12			EEF1AKMT1	TMC6	AK9	WARS	SNAP23	PSG9	SCGB2A1	SEMA7A	RAB5C		GABRB1	GPR6	FOXM1	
						STMN1		ARL11	ZPR1	LOC151174	PHIP	LOC100996351		ULK4P1	TM9SF3	ULK1	SMTNL1	CLCA2		STAC	NHSL1	UTF1			SKA3	ARSG	NT5DC1	XRCC3	ALDH1A2	PSG11	SCGB2A2	CILP	RAD51D		GABRG1	GPR31	B4GALNT1	
						LCK		WDFY2	USP2	ERFE	SOBP	LOC101928602		ARHGAP11B	ENTPD7	EEA1	YPEL4	HS2ST1		NEK4	PLEKHG1	EIF3A			MICU2	CEP131	FAM26D	YY1	HERC2	PSMC4	MAP3K11	PIAS1	RARA		GAK	GPX5	GAPDH	
						MATN1		LINC00284	PCSK7	MSL3P1	AKIRIN2	RNU6-7		DPH6	STAMBPL1	RASAL1	MED19	LRIG2		TCTA	ARID1B	GBF1			SPATA13	GGA3	ZUFSP	ZBTB25	HERC1	PTGIR	MYBPC3	RAB11A	RNU2-1		GC	GRIK2	BLOC1S1	
						MFAP2		CSNK1A1L	HTR3B	TIGD1	QRSL1	MIR7850		C15orf57	AVPI1	MAPKAPK5	OR6Q1	PLPPR4		TDGF1	TMEM181	LDB1			LNX2	JMJD6	FAM162B	DPF3	SNURF	PVR	MYOD1	PEX11A	RPL19		GK2	GRM1	GLI1	
						MPL		PRR20A	ZW10	LOC200772	DDX43	MIR6789		KNSTRN	HPSE2	DENR	OR9I1	TSPAN2		TGM4	ZBTB2	BTRC			ZDHHC20	EXOC7	TBC1D32	GPR68	USP8	NECTIN2	NDUFS3	IQGAP1	RPL23A		GK3P	GRM4	GNB3	
						MTF1		FAM216B	MMP20	RTP5	FAM46A	MIR7108		BMF	MMS19	OASL	OR9Q1	BCAS2		TGFBR2	ABRACL	PKD2L1			PAN3	ABCA6	HS3ST5	TCL1A	CCNB2	RELB	NDUFV1	ALDH1A2	RPL27		GLRB	GSTA1	GNS	
						MTHFR		LACC1	UBE4A	LOC285095	TMEM30A	RNU6-2		CHST14	NOC3L	DYNLL1	OR9Q2	CEPT1		THRB	PBOV1	BTAF1			SLC46A3	ABCA5	GPRC6A	GPR65	SLC28A2	RPL18	NDUFS8	HERC1	CCL1		GNRHR	GSTA2	GOLGA3	
						MUTYH		LINC00330	EI24	DUSP28	KCNQ5			TGM7	MMRN2	SRSF9	OR1S2	VAV3		TKT	SMOC2	INA			ANKRD20A9P	KCTD2	RFX6	NUMB	SLC24A1	RPS19	NELL1	PSTPIP1	CCL2		GPM6A	GSTA3	GPD1	
						MYCL		HNRNPA1L2	FEZ1	MROH2A	RARS2			CATSPER2	UBTD1	GALNT4	OR1S1	LAMTOR5		TMF1	ULBP3	PDLIM1			C1QTNF9	WBP2	SLC35F1	ADAM21	CCPG1	RTN2	NUCB2	PRC1	CCL3		GRK4	GSTA4	GPR19	
						NASP		ST13P4	ARHGAP32	ESPNL	PDSS2			PLA2G4E	TNKS2	CRADD	OR10Q1	AP4B1		CLEC3B	ARMT1	SMC3			LINC00442	CDC42EP4	VGLL2	ADAM20	GCNT3	SEPW1	OSBP	CCNB2	CCL3L1		GRIA2	GTF2H4	GRIN2B	
						NBL1		DGKH	C2CD2L	ECEL1P2	SMIM8			LOC145845	SLC25A28	HRK	OR5B17	PHTF1		TNNC1	ZDHHC14	NEURL1			TPTE2P6	FSCN2	LACE1	ADAM6	COPS2	SLC1A5	OVOL1	SLC28A1	CCL4		GRID2	GUCA1A	GTF2H3	
						NDUFS5		CCDC122	RBM7	RBM44	LYRM2			TMCO5A	MARVELD1	ADAM1A	OR5B21	AHCYL1		TOP2B	ADGB	BUB3			RASL11A	NAT9	FAM26E	DLK1	TRIP4	SLC8A2	P2RX3	SLC24A1	CCL5		CXCL1	GUCA1B	GUCY2C	
						NFYC		STOML3	MPZL2	AQP12A	SNX14			ZSCAN29	LOXL4	SOCS2	GLYATL2	GLMN		UBA7	FRMD1	LGI1			C1QTNF9B	NARF	MCM9	CCNK	TGM5	SNRNP70	PAX6	GCNT3	CCL7		CXCL2	HIST1H1C	GYS2	
						NPPA		ERICH6B	YAP1	KLHL30	HACE1			TTBK2	ZDHHC16	HCAR3	MPEG1	DDX20		UBE2E1	AGPAT4-IT1	NOLC1			SHISA2	SAP30BP	SCML4	DCAF5	PIGB	SNRPA	PC	TRIP4	CCL8		CXCL3	HIST1H1D	HAL	
						NPPB		SPERT	HYOU1	C2orf82	BEND3			CDAN1	PCGF5	HIP1R	OR5A2	CLCA4		UBE2E2	LINC00574	GSTO1			ANKRD20A19P	NT5C	CEP57L1	ALKBH1	KIF23	SNRPD2	PDE3B	COX5A	CCL11		GRSF1	HIST1H1E	NCKAP1L	
						YBX1		DLEU7	ATP5L	OR6B2	RRAGD			STRC	LCOR	RASSF9	OR5A1	MTF2		UBP1	CCDC170	BAG3			SERTM1	CDR2L	PPIL6	EIF2B2	IGDCC3	SULT2B1	PGA5	STOML1	CCL13		GUCY1A3	HIST1H1B	NR4A1	
						OPRD1		FAM124A	TREH	ASB18	PRDM13			CSNK1A1P1	PYROXD2	PIWIL1	OR4D6	NTNG1		USP4	MYCT1	KIF20B			LINC00547	MRPS7	LINC01268	MTA1	PPIP5K1	SULT2A1	PIK3C2A	HOMER2	CCL14		GUCY1B3	HIST1H1T	HNRNPA1	
						PAFAH2		TPTE2P3	CEP164	FLJ43879	BACH2			OTUD7A	ATAD1	CABP1	OR4D11	WDR47		UQCRC1	ULBP2	SH3PXD2A			ATP5EP2	HN1	FLJ34503	PNMA1	AQR	TGFB1	PLCB3	KIF23	CCL15		GYPA	HIST1H2AE	HOXC4	
						PRDX1		LRRC63	EXPH5	MIR149	LINC01590			SPRED1	ARHGAP19	NCOR2	PATL1	CLCC1		VIPR1	ULBP1	FAM53B			LINC00544	DCXR	DCBLD1	RPS6KA5	SECISBP2L	TULP2	POLR2G	IGDCC3	CCL16		GYPB	HIST1H2AD	HOXC5	
						PAX7		CTAGE10P	PHLDB1	DNAJB3	POPDC3			PGBD4	OLMALINC	WSCD2	OOSP2	ADGRL2		WNT5A	LPAL2	SLK			LINC00545	AMZ2	LOC285762	TRIP11	KIAA0101	VASP	PPP1CA	ZNF592	CCL18		GYPE	HIST1H2BD	HOXC6	
						PEX10		SLC25A30	SIK2	LOC643387	MICAL1			ADAL	OPALIN	SART3	MS4A15	KIAA1107		ZNF35	PPP1R14C	ZNF518A			C1QTNF9B-AS1	ANAPC11	RSPH4A	NRXN3	ARHGAP11A	XRCC1	PPP2R5B	KIAA0101	CCL23		H2AFZ	HIST1H2BB	HOXC8	
						PEX14		SUGT1P3	ARHGEF12	PRSS56	MANEA			EXD1	OPN4	KNTC1	VWCE	SLC35A3		IFRD2	SF3B5	DCLRE1A			SNORA27	SIRT7	C6orf58	AKAP5	LCMT2	ZNF45	PRG2	SV2B	SDF2		HADH	HIST1H1A	HOXC9	
						PGD		SIAH3	SIK3	AQP12B	LCAL1			FSIP1	HOGA1	MLEC	MS4A6E	LRRC8B		MAPKAPK3	RSPH3	FRAT1			BASP1P1	SDK2	CENPW	SPTLC2	USP3	ZNF221	PSMA1	ARNT2	SH3GL1P1		HTT	HCRTR2	HOXC10	
						PIK3CD		KCNRG	VSIG2	SCARNA6	KHDC1			RHOV	PIK3AP1	GIT2	OOSP1	LPAR3		SEMA3B	TTLL2	ACTR1A			TPTE2P1	FAM20A	SOGA3	BAG5	SLC12A6	ZNF222	PSMC3	USP3	SH3GL1P2		HGFAC	HDAC2	HOXC11	
						PLA2G2A		LINC00282	BACE1	SCARNA5	GPR63			UBR1	MORN4	NUAK1	C11orf31	DDAH1		SLMAP	FBXO30	SMNDC1			URAD	TMEM104	LINC00222	C14orf2	BCL2L10	ZNF155	PTH	NR2E3	SLC4A1		UBE2K	HFE	HOXC12	
						PLA2G5		FREM2	TRIM29	MIR562	SPACA1			LPCAT4	ZFYVE27	RBM19	OR10AG1	RWDD3		MANF	FAM120B	NPM3			ZAR1L	C17orf80	CEP85L	CDC42BPB	PDCD7	ZNF180	PTPRCAP	HCN4	SLC6A4		HMGB2	HIVEP1	HOXC13	
						PLOD1		NEK5	CADM1	D2HGDH	SH3BGRL2			PLA2G4F	FRA10AC1	RNF10	OR5J2	PTPN22		ACOX2	FNDC1	GLRX3			MIPEPP3	CCDC40	THEMIS	TCL1B	FEM1B	ZNF223	PTPRJ	SCAMP2	SMARCE1		HMX1	HIVEP2	HPD	
						EXOSC10		KCTD4	POU2F3	LOC728323	ARMC2			LRRC57	ANKRD22	NR1H4	OR9G4	SNORA66		BAP1	LRP11	RPP30			CCDC169	WIPI1	LIN28B	RGS6	RASGRP1	ZNF224	PYGM	SNUPN	STAT3		HNRNPD	HLA-A	IAPP	
						POU3F1		NHLRC3	HINFP	PP14571	RPF2			NUTM1	NUDT9P1	SH2B3	LOC283194	CHIA		EOMES	LTV1	DPYSL4			ANKRD26P3	NPLOC4	FAM26F	SUSD6	SERF2	ZNF225	RAB3IL1	PDCD7	STAT5A		HPGD	HLA-B	IFNG	
						PPP1R8		SERP2	REXO2	LOC100286922	MCHR2			LOC283710	AGAP11	ARPC3	LINC00301	GPSM2		HYAL3	SERAC1	TACC2			LINC00543	ST6GALNAC1	GSTM2P1	KIAA0586	DENND4A	ZNF226	MAP4K2	TSPAN3	STAT5B		HTN1	HLA-C	IGF1	
						PPT1		SERTM1	OR8G2	BOK-AS1	FAXC			FAM98B	ACSM6	PLXNC1	OR5F1	SLC25A24		CADPS	REPS1	SORBS1			LINC00426	GPRC5C	RFPL4B	FAM30A	SNAPC5	ZNF227	RAD9A	FEM1B	SUPT6H		HTN3	HLA-DMA	IGFBP6	
						PRKCZ		LINC00547	OR8B8	MIR3133	GJA10			PLA2G4D	LIPJ	MPHOSPH9	OR5AP2	DNTTIP2		HYAL2	PPIL4	ERLIN1			LINC00421	WDR45B	FAM229B	AREL1	CORO2B	ZNF112	RAG1	AP3S2	TADA2A		IBSP	HLA-DMB	INHBC	
						PSMB2		LINC00548	OR8G1	MIR4269	RTN4IP1			FMN1	CFL1P1	CAMKK2	MS4A10	TMED5		SUCLG2	LINC00473	LBX1			PAN3-AS1	CBX8	LOC643623	TECPR2	GNB5	ZNF229	RAG2	DENND4A	HNF1B		IDUA	HLA-DOA	ITGA5	
						PTAFR		TUSC8	TIMM8B	AGAP1-IT1	USP45			MRPL42P5	HECTD2	ZNF268	RTN4RL2	SH3GLB1		HESX1	SYTL3	MGEA5			MIR2276	MIF4GD	TRAF3IP2-AS1	GOLGA5	ARPP19	ZNF230	RAPSN	SNAPC5	MLX		CFI	HLA-DOB	ITGA7	
						PTPRF		MIR15A	OR8B2	UBE2F-SCLY	SLC22A16			C15orf52	FGFBP3	TRAFD1	FAM111B	SNX7		KAT2B	SFT2D1	TUBGCP2			MINOS1P1	CASKIN2	MIR548B	MED6	CLPX	SYMPK	RARRES3	HMG20A	THRA		IGFBP7	HLA-DPA1	ITGB7	
						RAP1GAP		MIR16-1	DCPS	MIR2467	LINC01621			C15orf53	NKX2-3	TMED2	ZFP91-CNTF	TRIM33		BSN	GINM1	PRDX3			LINC00540	RPTOR	MIR587	GPHN	SLC27A2	MIA	RBM4	CORO2B	TNFAIP1		JCHAIN	HLA-DPB1	ITPR2	
						RBBP4		ALG11	ZBTB44	MIR4440	UBE3D			C15orf54	SLC35G1	ERP29	OR5D13	DPH5		LIMD1	TAGAP	VAX1			SACS-AS1	BAHCC1	MIR588	VTI1B	GPR176	LTBP4	RCN1	SEMA4B	TOP2A		RBPJ	HLA-DPB2	KCNA1	
						RHCE		TSC22D1-AS1	DDX25	MIR4786	MFSD4B			MIR211	PIPSL	CKAP4	OR5D16	GPR88		CCRL2	ADAT2	ATE1			LINC00327	USP36	TPI1P3	FBLN5	CHP1	TEAD2	RELA	CIB2	DNAJC7		IL2	HLA-DQA1	KCNA5	
						RHD		LINC00598	CDON	MIR4441	GTF3C6			GOLGA8B	BLOC1S2	GCN1	OR5W2	TRMT13		UBA3	STXBP5	SEC23IP			TEX26-AS1	RNF213	METTL24	BATF	OIP5	PPFIA3	DPF2	CIB1	TUBG1		CXCL8	HLA-DQA2	KCNA6	
						RLF		LINC00371	SIDT2	MIR5001	MRAP2			EIF2AK4	FLJ37201	METAP2	OR8H2	RSBN1		RPL14	PACRG	RAB11FIP2			FRY-AS1	TNRC6C	LIN28B-AS1	SIVA1	ITGA11	PLA2G4C	ROM1	MTHFS	UBTF		IL15	HLA-DQB1	KCNC2	
						RNU1-4		SERPINE3	TRAPPC4	CAPN10-AS1	RWDD2A			CATSPER2P1	FFAR4	SDS	OR8H3	ZNHIT6		SEC22C	RAET1E	CPEB3			LINC00445	SLC25A19	TRAPPC3L	NPC2	BAHD1	NAPA	RPS6KB2	ARID3B	VTN		ING2	HLA-DQB2	KCNJ8	
						SNORA73A		SNORA31	SPA17	LINC01237	KLHL32			CKMT1A	LIPM	RAB35	OR5T3	PALMD		RRP9	LOC153910	INPP5F			SPG20-AS1	UBE2O	CD24	AHSA1	FAN1	FCGBP	RPS13	CLPX	PCGF2		CXCL10	HLA-DRA	KIF5A	
						RPA2		MIR621	FXYD6	LOC101928111	MB21D1			SERINC4	CYP26C1	SNRNP35	OR5T1	FNBP1L		LRRFIP2	ZC2HC1B	NT5C2			CCDC169-SOHLH2	DUS1L	LOC100287632	CYP46A1	CEP152	PGLYRP1	SAA1	MORF4L1	ZNF207		IRF2	HLA-DRB1	KLRB1	
						RPL11		CCDC169	CNTN5	LOC101928881	SLC16A10			C15orf62	SLC16A12	KERA	OR8K1	ST7L		MAGI1	CNKSR3	PDCD11			MIR4499	FN3K	LOC100422737	PAPOLA	MAPKBP1	ARHGEF1	SAA2	ABHD2	TAF15		KDR	HLA-DRB5	KLRC1	
						RPL22		PRR20B	SIAE	MIR6811	RIPPLY2			GOLGA8N	CC2D2B	PRDM4	OR5M9	PRPF38B		CACNA2D2	RAET1L	SORCS3			LINC00408	DNAI2	MIR3144	ACOT2	GOLGA8A	DYRK1B	SAA3P	ADAMTS7	RND2		KIT	HLA-DRB6	KLRC2	
						RPS6KA1		PRR20C	C11orf71	LOC102723927	IRAK1BP1			C15orf56	GOLGA7B	CIT	OR5M10	LRRC8D		SLC22A14	PNLDC1	PPRC1			LINC00539	ENGASE	LOC100996634	TMED10	ZNF609	NUMBL	SAA4	AKAP13	PIP4K2B		KLKB1	HLA-E	KLRC3	
						RPS8		PRR20D	ROBO4	LINC01173	CD109			PHGR1	MIR107	PWP1	OR5M1	PRMT6		SLC22A13	LOC154449	FAM175B			LINC00566	MRPL38	LOC101927640	PTPN21	RTF1	CYTH2	SIPA1	ITGA11	FOXN1		LETM1	HLA-F	KLRD1	
						RSC1A1		LINC00462	SLC35F2		PM20D2			GOLGA8T	C10orf62	FICD	OR9G1	MCOLN3		SLC4A7	TXLNB	RRP12			PDX1-AS1	ASPSCR1	LOC101927686	C14orf1	CYFIP1	ZNF235	SLC1A2	CHSY1	CNTNAP1		LRPAP1	HLA-G	KRAS	
						SCNN1D		TPT1-AS1	RAB39A		SRSF12			GOLGA8K	LINC00863	NUDT4	OR5AK2	RNPC3		DCAF1	DACT2	TBC1D12			LINC00572	CARD14	LOC101927768	VASH1	MGA	DHX34	SLC3A2	ZNF609	TCAP		MAD2L1	HLA-H	KRT1	
						SDHB		MIR1297	BTG4		KHDC3L			MIR626	IFIT1B	FZD10	OR5B2	LRIF1		TBC1D5	C6orf118	DNMBP			LINC00297	MFSD11	LOC101927919	ZBTB1	DMXL2	SAE1	SPI1	TBC1D2B	AOC3		SMAD1	HLA-J	KRT2	
						SFPQ		MIR759	NXPE4		CFAP206			MIR627	MIR346	MLXIP	OR5B12	CTTNBP2NL		IP6K1	OSTCP1	FRAT2			USP12-AS1	C17orf62	HRAT13	SNW1	VPS39	TOMM40	SPTBN2	MESDC2	BECN1		MANBA	HLA-L	KRT3	
						SRSF4		MIR320D1	TTC12		BVES-AS1			ANP32AP1	FAM25A	RPH3A	OR5AN1	FAM212B		EPM2AIP1	WDR27	DPCD			USP12-AS2	ARMC7	LOC101928140	PCNX1	FAM189A1	RABAC1	SSRP1	ACSBG1	KRT38		MGST2	HMGA1	KRT4	
						ST3GAL3		MIR3168	C11orf57		PRSS35			GOLGA8O	LIPK	P2RX2	OR4D10	KYAT3		PSMD6	SHPRH	SEC31B			MTUS2-AS1	CHMP6	ARMC2-AS1	DAAM1	AP4E1	ZNF234	STX3	KIAA1024	KRT37		CXCL9	HSF2	KRT5	
						STIL		MIR4305	ELMOD1		LCA5			GOLGA8H	LIPN	FBXO21	OR4D9	TMEM167B		TRANK1	PHACTR2-AS1	ATRNL1			LINC00350	RHBDF2	MIR7641-2	TTLL5	CCNDBP1	PPP1R13L	STX5	SYNM	KRT36		AFF1	HSPA1A	KRT6A	
						SKI		MIR3613	FOXRED1		C6orf163			PIN4P1	LINC00865	SETD1B	OR10V1	OLFML3		DLEC1	PACRG-AS1	EDRF1			LINC00365	FN3KRP	NCOA7-AS1	RCOR1	DAPK2	CD3EAP	ABCC8	TMED3	KSR1		NR3C2	HSPA1B	KRT6B	
						SLC2A1		OR7E37P	SCN3B		CCDC162P			OIP5-AS1	SNORA12	UHRF1BP1L	MIR130A	TMIGD3		EXOG	PRR18	TCTN3			LINC00398	OGFOD3	LOC105377924	SYNE2	EID1	RUVBL2	TCN1	SEC11A	CDK5R1		MSX1	HSPA1L	KRT7	
						SLC2A5		LINC00445	VPS11		AK9			SRP14-AS1	MIR607	ANKLE2	TRIM51HP	AMIGO1		XYLB	LOC285804	C10orf12			LINC00417	ZNF750	LOC105377962	PACS2	NPAP1	KDELR1	TEAD1	DAPK2	HAP1		MTNR1A	HSP90AB1	KRT8	
						SLC6A9		SPG20-AS1	TEX12		LACE1			ANKRD63	NUTM2A	CUX2	LOC441601	ODF2L		OXSR1	ZC3H12D	ANKRD2			LINC00423	NUP85	LOC105377967	ANGEL1	HYPK	HNRNPUL1	TM7SF2	GABARAPL3	MAP3K14		MTTP	HTR1B	KRT18	
						SLC9A1		VWA8-AS1	CRTAM		MMS22L			LOC100131315	NUTM2D	KIAA1033	OR5B3	KIAA1324		NR1D2	ECT2L	CNNM1			LINC00457	MYO15B	LOC105377975	PPP1R13B	TMEM87A	CLASRP	TPH1	ARIH1	SLC13A2		MUC7	HTR1E	KRT81	
						SRM		INTS6-AS1	TMPRSS4		SCML4			JMJD7	NUTM2A-AS1	MED13L	MS4A13	PTBP2		PDCD6IP	NUP43	MYOF			LINC00424	FAAP100		DICER1	RPAP1	KPTN	TRAF6	SIN3A	UNC119		MYL5	ID4	KRT82	
						TAF12		LINC00458	IFT46		CEP57L1			PLA2G4B	LINC00864	SIRT4	OR8U8	DNASE2B		PARP3	RAET1G	ANKRD1			LINC00571	TSPAN10		ZFYVE26	GLCE	CARD8	TSG101	ULK3	TIAF1		NDUFC1	IFNGR1	KRT83	
						TAL1		CPB2-AS1	PRDM10		PPIL6			WHAMMP1	ENTPD1-AS1	ABCB9	BTBD18	MFSD14A		ZNF197	SUMO4	PDCD4			SPATA13-AS1	QRICH2		TTC9	DKFZP434L187	CYP2G1P	SCGB1A1	GLCE	ZNHIT3		NEK1	IGF2R	KRT84	
						TCEA3		CCDC169-SOHLH2	DSCAML1		DPPA5			LOC100288637	RPL13AP5	ISCU	PGA3	RBM15		RBM6	C6orf120	VENTX			STARD13-AS	CBX2		FLRT2	PYGO1	CIC	VEGFB	FBXO22	EFTUD2		NFKB1	IL17A	KRT85	
						TCEB3		MIR4703	GRAMD1B		GJB7			MIR1233-1	C10orf131	RIMBP2	PGA4	DCLRE1B		RBM5	SAMD5	R3HCC1L			LINC00621	FAM104A		PLEKHG3	BLOC1S6	ZC3H4	BEST1	VPS33B	RPL23		NKX6-1	IMPG1	KRT86	
						TIE1		TPTE2P5	CEP126		SNHG5			MIR1282	PLCE1-AS1	ATP6V0A2	LOC646813	WDR77		NME6	IYD	POLL			LOC101928697	MGC16275		SIPA1L1	GREM1	FBXO46	WT1	MRPL46	GOSR1		NPY1R	IRF4	LAG3	
						TNFRSF1B		MIR5007	ARHGAP20		LINC00222			MIR1233-2	ACTA2-AS1	CORO1C	MS4A18	EPS8L3		CTDSPL	DKFZp451B082	BLNK			LINC00463	FBF1		DCAF4	RNU6-1	ETHE1	SF1	OR4F4	CCL4L2		NPY2R	ITPR3	LALBA	
						TP73		MIR5693	USP28		LIN28B			MIR4310	KLLN	MGAT4C	MIR3162	TTLL7		EIF1B	TCP10L2	KCNIP2			LINC00367	UNK		KIF26A	RNU5A-1	SYNGR4	ZFPL1	RNU6-1	NR1D1		NPY5R	JARID2	LDHB	
						TNFRSF4		MIR5006	CARD18		OOEP			MIR3942	HECTD2-AS1	FBXW8	TMX2-CTNND1	RPAP2		TRAIP	LOC401286	CUZD1			LINC00384	TRIM47		TMEM251	RNU5B-1	PRG1	CSRP3	RNU5A-1	TRAF4		PCDH7	KIFC1	LRMP	
						UQCRH		LINC00562	AASDHPPT		GSTM2P1			INAFM2	DNMBP-AS1	HSPB8	LOC101927120	DENND2D		ARIH2	LINC00242	CALY			LINC01053	MAFG-AS1		PLEK2	FOXB1	CBLC	PDHX	RNU5B-1	KIAA0100		PDGFRA	KIF25	LRP1	
						UROD		LINC00558	PKNOX2		RFPL4B			RAD51-AS1	MIR1287	RNU4-2	LOC101927204	RPF1		CRTAP	LINC01624	EXOSC1			LINC00412	OTOP2		TIMM9	RPUSD2	PPP1R15A	FOSL1	NPTN	PLEKHM1		PDE6B	KPNA5	LRP6	
						ZSCAN20		LINC00563	TP53AIP1		FAM229B			DPH6-AS1	FAS-AS1	RNU4-1	MIR6128	SIKE1		ARL6IP5	GTF2H5	CALHM2			LOC102723345	TTYH2		TCL6	TUBGCP4	PLD3	BBOX1	FOXB1	MED24		PDHA2	LAMA2	LTA4H	
						ZBTB17		LINC00441	MMP27		TSG1			SERF2-C15ORF63	MIR3157	HCAR1	MIR6503	VANGL1		NPRL2	FLJ46906	CUTC			LINC01046	CYGB		MLH3	SCG3	EML2	SLC43A1	SLCO3A1	LRRC37A		GATB	LAMA4	LTBR	
						SLC30A2		MED4-AS1	ABCG4		TRAF3IP2-AS1			MIR4510	SLIT1-AS1	UTP20		GPR61		CXCR6	LINC00602	PLCE1			LINC01048	RNF157		KCNH5	TMOD3	PRKD2	DGKZ	SCAPER	HDAC5		PF4	LPA	LUM	
						LUZP1		DLEU7-AS1	ROBO3		SNORD50B			TMCO5B	LINC00866	MRPL42		SYDE2		CSPG5	LOC441178	CHST15			LINC01058	C1QTNF1		FOXN3-AS2	TMOD2	CCDC9	CHST1	HDGFRP3	GJC1		PF4V1	LTA	LYZ	
						PRDM2		HTR2A-AS1	C11orf1		MIR587			LOC100996255	TNKS2-AS1	IFT81		ZNF644		ARPP21	LINC01625	SUFU			LINC01072	PPP1R27		GPR132	EHD4	IRF2BP1	API5	RPS27L	PSME3		PITX2	LTB	M6PR	
						DNALI1		LINC00332	RNF26		MCHR2-AS1			LOC101928042	MARK2P9	FAM216A		LRRC8C		CCR9	RPS18P9	ACSL5				METTL23		POMT2	DUOX2	FGF21	MADD	RASL12	EIF1		PKD2	MARCKS	MARS	
						LAPTM5		ENOX1-AS2	FAM118B		METTL24			LOC101928134	ARHGAP19-SLIT1	HCFC2		PROK1		USP19	LOC645967	EXOC6				SLC38A10		COQ6	MYEF2	ZNF285	CTSF	SPG21	NBR2		PLRG1	MAK	MDM2	
						PTP4A2		LINC00366	DYNC2H1		LIN28B-AS1			LOC101928174	MIR4679-1	SYCP3		PSRC1		SLC38A3	RAET1K	CCNJ				CANT1		FCF1	RPS27L	LYPD3	BANF1	NGRN	RAMP2		EXOSC9	MAN1A1	METTL1	
						ARID1A		LINC00400	NLRX1		KHDC1L			LOC101928227	MIR4679-2	CHST11		STRIP1		CYB561D2	AFDN-AS1	MARCH5				USH1G		RDH11	NDUFAF1	BBC3	RPS6KA4	RHCG	VAT1		POLR2B	MAS1	KITLG	
						SNHG3		LINC00457	MSANTD2		TSTD3			EHD4-AS1	MIR4678	GALNT9		DNAJA1P5		TMEM115	SNORA20	ZRANB1				CD300LB		SERPINA10	RSL24D1	DKKL1	AIP	HACD3	P3H4		POU4F2	MCM3	MGP	
						NR0B2		LINC00571	ALG9		CD24			PLA2G4E-AS1	MIR4685	CCDC53		HENMT1		RPP14	SNORA29	CFAP46				KIF19		GLRX5	NUSAP1	C5AR2	SYT7	RAB8B	HEXIM1		PPEF2	MDFI	MGST1	
						RAD54L		RNASEH2B-AS1	CLMP		HMGN3-AS1			MIR8063	LINC00502	CEP83		GBP4		FAM107A	KATNBL1P6	NSMCE4A				TBC1D16		COX16	EMC4	DHDH	SART1	BTBD1	SPAG5		PPAT	ME1	MIP	
						PIK3R3		SLC25A30-AS1	PDZD3		MIR2113			LOC102725022	SLC16A12-AS1	GPN3		GBP5		WDR6	STXBP5-AS1	CNNM2				AFMID		DACT1	RASL12	SLC6A16	SLC6A5	TM6SF1	CCT6B		PPBP	MEA1	MMP17	
						MMP23B		SMIM2-IT1	C11orf63		LOC100422737			LOC105370757	LINC01375	GLTP		SSX2IP		RASSF1	TMEM242	WBP1L				MGAT5B		ATP6V1D	SPG21	CYP2S1	FIBP	CSNK1G1	C1QL1		PPID	MAP3K4	MMP19	
						MMP23A		MRPS31P5	CCDC15		MIR4282			LOC105370792	LOC101926942	MAPKAPK5-AS1		OLFM3		NISCH	LOC729603	CCDC186				TEPSIN		EVL	SPTBN5	STRN4	MTA2	ZFAND6	RUNDC3A		PPP2R2C	MAP3K5	MSI1	
						KCNAB2		LOC101926897	PDGFD		LOC100506804			LOC105370941	PLCE1-AS2	ARL6IP4		WDR63		TREX1	PACRG-AS3	CRTAC1				B3GNTL1		GSKIP	HACD3	SERTAD3	UBE2L6	SCAND2P	STARD3		PPP3CA	MEP1A	MVK	
						FCN3		LINC00437	TMPRSS5		KCNQ5-IT1			LOC105370943	LOC101927278	TAOK3		SLC44A3		SCN11A	HGC6.3	CEP55				RBFOX3		JKAMP	CTDSPL2	SERTAD1	SNORD29	FAM63B	DDX52		PRKG2	MICB	MYBPC1	
						YARS		LOC101929140	PUS3		MIR4464			BUB1B-PAK6	LINC01475	POP5		ATXN7L2		TUSC2	UST-AS1	CWF19L1				CD300LF		CINP	KLF13	GLTSCR2	SNORD31	RNF111	DUSP14		MAPK10	MLN	MYF5	
