Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-A2-A4S1	TCGA-AO-A125	TCGA-AC-A3W5	TCGA-LQ-A4E4	TCGA-A7-A425	TCGA-EW-A1J6	TCGA-E2-A105	TCGA-GM-A5PX	TCGA-LL-A5YM	TCGA-E2-A14W	TCGA-A7-A56D	TCGA-E2-A576	TCGA-OL-A5D6	TCGA-D8-A4Z1	TCGA-OL-A66P	TCGA-LL-A6FP	TCGA-E2-A1LE	TCGA-OL-A66K	TCGA-UL-AAZ6	TCGA-E2-A14S	TCGA-W8-A86G	TCGA-BH-A0DS	TCGA-B6-A40B	TCGA-BH-A42U	TCGA-AC-A3W6	TCGA-AC-A3YJ	TCGA-OL-A66L	TCGA-E2-A2P5	TCGA-E9-A3Q9	TCGA-E9-A5FL	TCGA-AN-A03Y	TCGA-OL-A5D7	TCGA-BH-A0EE	TCGA-E2-A2P6	TCGA-AC-A3TN	TCGA-E2-A14O	TCGA-AO-A1KQ	TCGA-AC-A8OP	TCGA-E2-A572	TCGA-A2-A0CO	TCGA-C8-A131	TCGA-OL-A97C	TCGA-E2-A1IF	TCGA-BH-A42T	TCGA-GM-A2D9	TCGA-V7-A7HQ	TCGA-A2-A04N	TCGA-LL-A6FQ	TCGA-OL-A66J	TCGA-PE-A5DC	TCGA-AC-A3W7	TCGA-LD-A9QF	TCGA-BH-A0E6	TCGA-AC-A62Y	TCGA-S3-AA12	TCGA-AC-A3YI	TCGA-OL-A66H	TCGA-B6-A0I1	TCGA-AC-A3QP	TCGA-LD-A74U	TCGA-AO-A1KP	TCGA-LL-A9Q3	TCGA-S3-AA11	TCGA-XX-A89A	TCGA-A7-A3IY	TCGA-B6-A0IO	TCGA-E9-A54X	TCGA-E2-A14U	TCGA-LL-A7T0	TCGA-E2-A1B4	TCGA-GM-A3NY	TCGA-LL-A50Y	TCGA-D8-A73U	TCGA-AO-A0J3	TCGA-GM-A4E0	TCGA-A8-A09M	TCGA-AC-A5XS	TCGA-AC-A8OS	TCGA-EW-A423	TCGA-OL-A5S0	TCGA-E2-A9RU	TCGA-WT-AB44	TCGA-E2-A56Z	TCGA-BH-A8FY	
Deletion Peak 11	8p23.2  	chr8:2166023-6404670(probes 760521:762461)            	chr8:2926897-4996752(probes 760557:762059)            	chr8:1-8399570(probes 759723:763024)                   	2.3154e-05	  2.345e-05		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	1	0	
Deletion Peak 12	8p21.1  	chr8:27991975-28319570(probes 776375:776646)        	chr8:28088768-28198450(probes 776461:776528)        	chr8:28041178-28241305(probes 776423:776566)        	0.0040914	  0.0040914		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	
Deletion Peak 13	9p23    	chr9:7799607-10619051(probes 846959:848667)          	chr9:8310705-10619051(probes 847291:848667)          	chr9:9222893-9225462(probes 847980:847981)            	0.077272	    0.07333		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	
Deletion Peak 14	9p22.3  	chr9:14718857-15006535(probes 850732:850942)        	chr9:14731527-14911083(probes 850749:850917)        	chr9:14830273-14833402(probes 850834:850835)        	0.20227	     0.2245		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	
Deletion Peak 15	9p21.3  	chr9:21555228-22448738(probes 856200:856738)        	chr9:21959053-21997723(probes 856419:856432)        	chr9:21235195-27398545(probes 855965:859820)        	1.6047e-05	 1.8603e-05		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	
Deletion Peak 16	10q23.31	chr10:85593973-100526765(probes 963659:972683)    	chr10:87817455-88993486(probes 964831:965722)      	chr10:86922799-100510564(probes 964530:972677)    	0.015432	   0.034442		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	
Deletion Peak 17	10q25.1 	chr10:89592540-133797422(probes 966157:993965)    	chr10:107865970-111083326(probes 977189:979058)  	chr10:101589914-114057615(probes 973266:981274)  	0.036236	    0.11474		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	
Deletion Peak 18	11p15.5 	chr11:1-534241(probes 993966:993985)                   	chr11:1-516519(probes 993966:993984)                   	chr11:1-549958(probes 993966:993987)                   	0.15523	    0.15523		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	
Deletion Peak 19	11q12.2 	chr11:50101779-61301885(probes 1024945:1027850)    	chr11:60455533-60547517(probes 1027377:1027418)    	chr11:56244857-61564159(probes 1024946:1027961)    	0.0094273	   0.041651		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	
Deletion Peak 20	11q13.1 	chr11:12160914-69500286(probes 1000963:1030882)    	chr11:64817516-65903038(probes 1029463:1029467)    	chr11:62547075-65906791(probes 1028488:1029470)    	0.036474	    0.19321		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	
Deletion Peak 21	11q23.3 	chr11:99552405-130320725(probes 1048873:1069809)  	chr11:116634960-116857408(probes 1060015:1060171)	chr11:100019658-135086622(probes 1049238:1072294)	9.0458e-05	  0.0045438		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	
Deletion Peak 22	11q25   	chr11:133844778-135086622(probes 1072163:1072294)	chr11:134245688-135086622(probes 1072281:1072294)	chr11:100019658-135086622(probes 1049238:1072294)	2.7596e-05	  0.0014345		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	
Deletion Peak 23	12p11.22	chr12:1-133275309(probes 1072295:1147361)           	chr12:29385322-29466767(probes 1089605:1089629)    	chr12:29412605-29417609(probes 1089618:1089619)    	0.25504	    0.24625		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 24	12q23.1 	chr12:82682953-133275309(probes 1118047:1147361)  	chr12:100064629-100150050(probes 1128792:1128819)	chr12:100081262-100150050(probes 1128798:1128819)	0.036236	   0.034726		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	
Deletion Peak 25	13q11   	chr13:1-19009522(probes 1147362:1147439)           	chr13:1-18938816(probes 1147362:1147392)           	chr13:1-19533596(probes 1147362:1147720)           	0.0028724	   0.016432		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	
Deletion Peak 26	13q12.12	chr13:1-38350733(probes 1147362:1159795)           	chr13:24160004-24163081(probes 1150008:1150009)    	chr13:22171964-24684705(probes 1148938:1150241)    	0.026396	    0.16586		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	
Deletion Peak 27	13q14.2 	chr13:33965855-59779246(probes 1156833:1171638)    	chr13:49493111-49692065(probes 1167110:1167222)    	chr13:34004197-59753792(probes 1156859:1171623)    	0.0040882	  0.0040914		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	
Deletion Peak 28	14q24.2 	chr14:58114361-107043718(probes 1226173:1255325)  	chr14:70357138-70425996(probes 1233468:1233491)    	chr14:70384219-70386285(probes 1233480:1233481)    	0.17843	    0.17703		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	
Deletion Peak 29	15q13.1 	chr15:1-71120373(probes 1255326:1282922)           	chr15:27853979-30842698(probes 1258071:1258087)    	chr15:26533321-44290721(probes 1257145:1265757)    	0.0051942	    0.17703		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	
Deletion Peak 30	15q14   	chr15:30988094-44290687(probes 1258176:1265756)    	chr15:39244914-40475539(probes 1263312:1264037)    	chr15:26533321-44290721(probes 1257145:1265757)    	0.0010835	   0.019575		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	
Deletion Peak 31	15q24.2 	chr15:55825978-101991189(probes 1272939:1300573)  	chr15:76174120-76186029(probes 1285555:1285562)    	chr15:76112119-76213564(probes 1285515:1285587)    	0.1842	    0.19321		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	
Deletion Peak 32	17q21.2 	chr17:21774058-46764264(probes 1352128:1360527)    	chr17:41436286-41441930(probes 1358655:1358665)    	chr17:41438428-41441268(probes 1358661:1358662)    	0.19846	    0.19993		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	
Deletion Peak 33	17q25.1 	chr17:67742711-83257441(probes 1372247:1379980)    	chr17:75454145-75511784(probes 1376835:1376856)    	chr17:75459848-75483796(probes 1376838:1376849)    	0.16851	    0.16586		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	
Deletion Peak 34	19p13.3 	chr19:970775-3363202(probes 1423500:1424154)          	chr19:1204476-1676419(probes 1423577:1423673)        	chr19:468403-4301847(probes 1423444:1424386)          	0.01103	   0.011645		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	
Deletion Peak 35	19q13.32	chr19:39709275-49436873(probes 1440004:1444122)    	chr19:45464894-46235735(probes 1442449:1442761)    	chr19:43742184-46279348(probes 1441525:1442781)    	0.17262	    0.17703		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	
Deletion Peak 36	22q12.3 	chr22:36022233-36320268(probes 1516052:1516127)    	chr22:36137738-36209087(probes 1516100:1516114)    	chr22:36131815-36204794(probes 1516097:1516112)    	0.088821	    0.15523		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	
Deletion Peak 37	22q13.32	chr22:48272949-48780733(probes 1523414:1523867)    	chr22:48573902-48757469(probes 1523702:1523829)    	chr22:40507027-50818468(probes 1518220:1523951)    	3.7381e-06	 4.4887e-06		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	
Amplification Peak  1 - CN values	1p34.2  	chr1:40937185-42219062(probes 20405:21247)      	chr1:41369390-41572783(probes 20630:20769)      	chr1:41369390-41576077(probes 20630:20772)      	0.23605	    0.23605		Actual Copy Change Given	0.10379	-0.001926	-0.098286	0.11492	0.0091705	-0.56376	-1.548e-05	-0.0166	-0.72048	0.2003	-0.26865	-0.68936	0.018803	0.0075	0.0034687	-0.53348	0.58955	-0.3224	2.3578	0.033831	-0.0029091	-0.013278	-0.49163	-0.089532	0.022304	-0.0092666	-0.0031859	-0.39875	-0.015558	-0.0078863	-0.47564	0.068235	0.27395	-0.0011087	0.011958	-0.43641	-0.1637	-0.27416	-0.036683	0.080312	0.24513	0.0018546	0.0056919	-0.65015	-0.011198	0.025391	0.035947	-0.013175	0.0030393	0.0048579	0.041034	-0.016841	-0.30247	-0.045364	-0.0030475	0.0016642	0.0020805	0.58561	0.0030522	-0.00078582	-0.84971	-0.37065	-0.0021868	3.3882	0	-0.20349	0.072396	0.0049969	0.014051	0.0056856	0.011121	0.012097	-0.20069	-0.50484	-0.24679	-0.3659	-0.018206	0.030169	0.39574	0.21161	0.039478	-0.70818	-0.044009	-0.0055375	
Amplification Peak  2 - CN values	1q21.2  	chr1:119984739-151437025(probes 68819:69357)  	chr1:150131879-150522686(probes 68921:69013)  	chr1:119984773-155529465(probes 68820:71509)  	0.040883	   0.045099		Actual Copy Change Given	-0.19401	1.7895	0.82294	0.05637	1.4462	0.247	-0.006244	1.0342	0.85304	0.015587	0.47185	0.073797	0.0044411	0.0075	-0.0081624	1.5389	-0.082535	1.0733	0.64524	0.021603	0.90352	1.4678	0.666	0.096417	0.31177	0.72055	0.56079	0.57523	0.61736	0.19162	1.2731	0.76178	0.55018	1.4479	0.72131	0.88266	0.38816	0.47341	-0.032848	0.55213	0.49096	0.62795	0.96761	0.64928	1.0491	-0.0030469	0.0026294	0.50898	0.0030393	0.0048579	0.5649	0.0026357	1.0135	0.74765	-0.0030475	0.16505	0.0020805	3.2158	0.0030522	0.27018	0.8699	1.5998	0.6696	0.043157	0	0.36641	0.082332	0.0049969	-0.0066432	0.0056856	1.1656	1.2718	0.39453	0.86607	0.27521	-0.17462	0.43396	0	1.1435	0.79723	0.31739	1.9605	0.65981	0.83235	
Amplification Peak  3 - CN values	1q24.2  	chr1:160517746-176085009(probes 74525:85051)  	chr1:168926276-169012925(probes 80720:80796)  	chr1:168041983-169788074(probes 80027:81376)  	0.066365	   0.073736		Actual Copy Change Given	-0.2287	1.7895	0.62074	0.78446	1.4347	-0.54472	-0.006244	1.0342	0.9363	1.2272	0.43192	0.056619	0.0044411	0.0075	0.0052749	1.5389	1.8702	1.1205	0.7057	-0.01106	0.90352	1.4267	0.666	0.096417	0.31177	1.4445	0.58736	0.99509	0.61736	0.4789	1.2156	1.2061	0.55018	1.4594	0.70288	0.88266	0.46058	0.49945	0.15098	0.59836	0.49528	0.71987	0.96761	0.73644	1.1059	-0.0030469	0.0026294	0.50898	0.0036076	0.0048579	0.5649	0.037782	0.69978	0.74765	-0.0030475	0.1615	0.0020805	2.4924	0.0030522	0.27024	0.8483	1.113	0.6696	0.0077078	0	0.81571	-0.0012473	0.0049969	-0.011473	0.0056856	1.1861	1.2718	0.39453	1.4456	0.27521	0.89126	0.4623	0	1.2647	0.79723	0.40211	1.8624	0.054091	2.5589	
Amplification Peak  4 - CN values	7p13    	chr7:44072031-44103245(probes 702480:702490)    	chr7:44078935-44102543(probes 702481:702489)    	chr7:44078935-44147941(probes 702481:702512)    	0.1275	     0.1275		Actual Copy Change Given	0.66991	0.94384	0.28865	0.081755	0.46468	3.6569	0.0023426	0.00069327	0.15039	0.40911	3.6569	-0.027191	0.046842	-0.0031859	0.5142	0.49626	1.4849	0.33367	0.50238	-0.019452	0.25105	0.65903	-0.031391	-0.00079562	0.055373	0.0015255	-0.0009002	0.00041593	0.00041593	-0.26877	-0.057385	0.20488	0	-0.0085766	0.0072217	0	0.38766	0.24435	-0.005561	0.11609	0.41011	0.88453	-0.0026322	0.066945	0.0041632	0.021884	-0.0012473	0.52094	0.0016642	0.0026357	-0.0047079	0.14697	-0.31874	0.388	0.0051359	-0.0031859	0.63088	0	-0.0026702	0.0541	-0.0091286	0.61317	0.0028047	0.0097276	-0.00013862	0.23861	0.81064	-0.0024938	-0.3463	0.00013239	-0.0026322	0.0063871	0.012296	0.39243	0.00083195	0.1676	0.010295	0.47235	0.4094	0.12933	0.49671	0.4536	0.37101	-0.013214	
Amplification Peak  5 - CN values	8p11.23 	chr8:37230583-38114423(probes 781830:782243)    	chr8:37230733-37321975(probes 781831:781900)    	chr8:34496294-46552442(probes 780493:785100)    	6.8468e-10	 1.5629e-06		Actual Copy Change Given	0.11534	-0.0069195	-0.6877	0.072396	-0.030404	0.31165	3.2325	-0.00013862	-0.27679	0.047694	0.13479	0.75581	0.03445	0.32173	0.011818	0	-0.5294	0.023286	-0.63935	-0.83373	0.27505	1.6746	0.096491	0.00022009	0.00013863	0.0091705	0.0013868	0.53977	-0.0016629	-0.045364	-0.529	-0.4678	-0.60786	0.0055616	-0.77107	0.77945	0.60124	-0.28204	0.0029035	-0.59136	-0.45896	-0.0047527	-0.34435	0.78157	0.69335	-0.69839	0.63828	-0.018676	3.6569	0.006109	0.023004	-0.0048461	1.2744	-0.018902	3.6569	1.3592	-0.0063668	-0.7257	0.76312	-0.0029005	3.6569	2.9633	0.0012782	-0.52767	0.0065971	-0.0031859	0.79491	-0.16281	2.8512	-0.0037457	0.0051359	-0.82879	-0.11084	3.6569	0.0086135	0.18871	-0.0045598	0.0076392	0.026192	-0.67784	3.6569	-0.15221	3.6569	0.018523	
Amplification Peak  6 - CN values	8p11.22 	chr8:39551068-39620261(probes 782845:782882)    	chr8:39552476-39617690(probes 782846:782881)    	chr8:34496294-46552442(probes 780493:785100)    	4.8051e-08	  0.0064277		Actual Copy Change Given	0.11534	-0.0069195	-0.48586	0.072396	-0.030404	0.31165	3.6569	-0.00013862	0.2287	0.047694	0.13479	1.5364	0.03445	0.32173	0.011818	0	-0.5294	0.023286	-0.63935	2.1638	0.27505	1.6746	0.096491	0.00022009	0.00013863	0.0091705	0.0013868	0.53977	-0.0016629	-0.045364	-0.529	0.68459	-0.60786	0.0055616	-0.77107	0.77945	0.60124	-0.28204	-0.11932	-0.067993	-0.45896	-0.0047527	-0.34435	0.78157	0.69335	-0.69839	1.0082	-0.018676	3.6569	0.006109	0.023004	-0.0048461	1.2744	-0.018902	-0.96215	1.2601	-0.0063668	2.0578	0.87687	-0.0029005	3.324	2.9843	0.0012782	-0.52767	0.0065971	-0.0031859	0.79491	0.22457	0.027357	-0.0037457	0.0051359	-0.82879	-0.11084	3.6569	0.0086135	0.18871	0.032714	0.0076392	0.026192	-0.67784	3.1597	-0.15221	-0.1955	0.018523	
Amplification Peak  7 - CN values	8p11.21 	chr8:41192171-46549322(probes 784000:785098)    	chr8:42574795-42681911(probes 784883:784935)    	chr8:34496294-46552442(probes 780493:785100)    	0.0080375	   0.077985		Actual Copy Change Given	0.11534	-0.0069195	-0.49721	0.072396	-0.030404	0.31165	0.002065	-0.00013862	0.2287	0.047694	0.063786	2.2663	0.03445	0.32173	0.011818	0	-0.5294	0.023286	-0.63935	2.2348	0.27505	1.6746	0.096491	0.00022009	0.00013863	0.0091705	0.0013868	0.53977	-0.0016629	-0.27822	3.6569	0.53397	-0.59156	0.0055616	-0.77107	0.77945	0.30409	-0.27033	0.057343	0.11345	-0.45896	-0.0047527	-0.34435	0.78157	0.66032	1.4162	0.9623	-0.018676	0.58937	0.006109	0.023004	-0.0048461	1.8754	-0.018902	-0.0095426	0.92695	-0.0063668	2.0578	0.79956	-0.0029005	0.91642	3.6569	0.0012782	0.18011	0.0065971	-0.0031859	0.79491	0.22457	0.027357	-0.0037457	0.0051359	-0.82879	-0.11084	1.0906	0.0086135	0.18871	0.032714	-0.011198	0.026192	-0.23655	2.4383	-0.15221	0.29294	0.018523	
Amplification Peak  8 - CN values	8q13.1  	chr8:66522927-66562711(probes 796573:796590)    	chr8:66523280-66558479(probes 796574:796589)    	chr8:66523280-66573483(probes 796574:796592)    	0.21962	    0.21962		Actual Copy Change Given	0.10665	-0.0069195	0.0029133	0.010564	-0.030404	0.32447	3.2299	-0.00013862	-0.24143	0.6795	0.063786	1.6007	0.03445	-0.0015404	0.25371	0	-0.042381	0.023286	0.55567	3.3583	0.27505	2.7374	0.074806	0.00022009	0.00013863	0.0091705	0.0013868	1.4388	-0.0016629	0.6653	3.0722	3.6569	-0.60904	-0.034768	-0.0084385	0.77945	0.73492	0.8017	0.11274	0.11345	1.2508	-0.0047527	-0.00069303	0.69577	-0.00097017	1.4162	2.2351	-0.018676	0.0056919	0.006109	-0.014778	-0.0048461	0.014245	-0.018902	1.7895	0.49234	-0.0063668	1.1425	0.79956	-0.0029005	-0.89565	0.76063	0.026825	0.0019418	0.0065971	-0.0031859	0.79491	0.22457	0.68533	-0.0037457	-0.013127	0.00053745	-0.11084	0.56308	-0.0038119	0.51769	0.032714	-0.011198	0	1.0073	0.33723	-0.18471	0.26333	-0.013953	
